conversationTitle,tapeNumber,conversationNumber,identifier,startDateTime,endDateTime,startDate,startTime,endDate,endTime,dateCertainty,timeCertainty,participants,description,locationCode,recordingDevice,latitudeEstimated,longitudeEstimated,collection,collectionURL,chronCode,chronRelease,chronReleaseDate,aogpRelease,aogpSegment,digitalAccess,physicalAccess,contactEmail,lastModified
Conversation 039-022,39,22,37-wht-conversation-039-022,1973-05-28T22:15:00-04:00,1973-05-28T22:15:00-04:00,28-May-1973,10:15 PM,28-May-1973,10:15 PM,certain,certain,"Nixon, Richard M. (President); White House operator;","On May 28, 1973, President Richard M. Nixon and White House operator talked on the telephone at 10:15 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-022 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-023,39,23,37-wht-conversation-039-023,1973-05-28T22:31:00-04:00,1973-05-28T22:33:00-04:00,28-May-1973,10:31 PM,28-May-1973,10:33 PM,certain,certain,"White House operator; Nixon, Richard M. (President); Eisenhower, Julie Nixon;","On May 28, 1973, White House operator, President Richard M. Nixon, and Julie Nixon Eisenhower talked on the telephone from 10:31 pm to 10:33 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-023 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-024,39,24,37-wht-conversation-039-024,1973-05-28T22:33:00-04:00,1973-05-28T22:40:00-04:00,28-May-1973,10:33 PM,28-May-1973,10:40 PM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 28, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 10:33 pm and 10:40 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-024 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-025,39,25,37-wht-conversation-039-025,1973-05-28T22:40:00-04:00,1973-05-28T22:44:00-04:00,28-May-1973,10:40 PM,28-May-1973,10:44 PM,certain,certain,"White House operator; Nixon, Richard M. (President); Keyes, Paul W.;","On May 28, 1973, White House operator, President Richard M. Nixon, and Paul W. Keyes talked on the telephone from 10:40 pm to 10:44 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-025 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-026,39,26,37-wht-conversation-039-026,1973-05-29T09:58:00-04:00,1973-05-29T10:45:00-04:00,29-May-1973,9:58 AM,29-May-1973,10:45 AM,certain,estimated,"Nixon, Richard M. (President); White House operator;","On May 29, 1973, President Richard M. Nixon and White House operator talked on the telephone at an unknown time between 9:58 am and 10:45 am. The White House Telephone taping system captured this recording, which is known as Conversation 039-026 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-027,39,27,37-wht-conversation-039-027,1973-05-29T09:58:00-04:00,1973-05-29T10:45:00-04:00,29-May-1973,9:58 AM,29-May-1973,10:45 AM,certain,estimated,"White House operator; Nixon, Richard M. (President); Rogers, William P.; Sisco, Joseph J.;","On May 29, 1973, White House operator, President Richard M. Nixon, William P. Rogers, and Joseph J. Sisco talked on the telephone at an unknown time between 9:58 am and 10:45 am. The White House Telephone taping system captured this recording, which is known as Conversation 039-027 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-028,39,28,37-wht-conversation-039-028,1973-05-29T13:44:00-04:00,1973-05-29T13:45:00-04:00,29-May-1973,1:44 PM,29-May-1973,1:45 PM,certain,certain,"White House operator; Nixon, Richard M. (President); Hart, Thomas;","On May 29, 1973, White House operator, President Richard M. Nixon, and Thomas Hart talked on the telephone from 1:44 pm to 1:45 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-028 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-029,39,29,37-wht-conversation-039-029,1973-05-29T13:46:00-04:00,1973-05-29T13:47:00-04:00,29-May-1973,1:46 PM,29-May-1973,1:47 PM,certain,certain,"Nixon, Richard M. (President); Haldeman, H. R. (""Bob"");","On May 29, 1973, President Richard M. Nixon and H. R. (""Bob"") Haldeman talked on the telephone from 1:46 pm to 1:47 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-029 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-030,39,30,37-wht-conversation-039-030,1973-05-29T13:47:00-04:00,1973-05-29T13:47:00-04:00,29-May-1973,1:47 PM,29-May-1973,1:47 PM,certain,certain,"Nixon, Richard M. (President); White House operator;","On May 29, 1973, President Richard M. Nixon and White House operator talked on the telephone at 1:47 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-030 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
Conversation 039-031,39,31,37-wht-conversation-039-031,1973-05-29T13:47:00-04:00,1973-05-29T13:48:00-04:00,29-May-1973,1:47 PM,29-May-1973,1:48 PM,certain,certain,"Nixon, Richard M. (President); Hart, Thomas;","On May 29, 1973, President Richard M. Nixon and Thomas Hart talked on the telephone from 1:47 pm to 1:48 pm. The White House Telephone taping system captured this recording, which is known as Conversation 039-031 of the White House Tapes.",WHT,White House Telephone,38.89767,-77.03655,"White House Tapes: Sound Recordings of Meetings and Telephone Conversations of the Nixon Administration, 1971-1973",https://catalog.archives.gov/id/597542,5.5,Fifth Chronological Release: Part V,21-Aug-2013,,,"The Nixon Presidential Library and Museum, part of the National Archives and Records Administration, is working to digitize the White House Tapes.  For digitized audio recordings and more information about the White House Tapes, please visit: http://www.nixonlibrary.gov/forresearchers/find/tapes/index.php","Physical copies of White House Tapes conversations may be accessed in two locations: 1) the reading room of the Nixon Presidential Library and Museum in Yorba Linda, California, and 2) the audiovisual reading room of Archives II in College Park, Maryland.",nixon@nara.gov,2015-07-27T13:04:10.235-04:00
